Emanuel,GA,30104,32066,32187
Evans,GA,33186,33877,35212
Fannin,GA,32567,34431,35727
Fayette,GA,58295,60677,63515
Floyd,GA,36054,37003,38524
Forsyth,GA,59451,60227,62580
Franklin,GA,34213,35508,36672
Fulton,GA,75987,80683,84386
Gilmer,GA,32724,34102,35419
Glascock,GA,33238,32814,33931
Glynn,GA,41914,43642,46073
Gordon,GA,32428,35514,36947
Grady,GA,31138,33524,34899
Greene,GA,50359,53496,55396
Gwinnett,GA,38629,39738,41458
Habersham,GA,31893,32780,33925
Hall,GA,39946,41856,43701
Hancock,GA,27046,28261,29917
Haralson,GA,33941,35121,36508
Harris,GA,44439,45538,47469
Hart,GA,34264,36219,38125
Heard,GA,29431,30076,31144
Henry,GA,36748,37619,39184
Houston,GA,39991,41105,42625
Irwin,GA,28698,30745,32824
Jackson,GA,39379,40832,42211
Jasper,GA,35403,39111,40606
Jeff Davis,GA,28567,28671,29943
Jefferson,GA,31409,32925,34034
Jenkins,GA,28179,28005,29250
Johnson,GA,24388,24822,26195
Jones,GA,34947,36159,37618
Lamar,GA,31106,32395,33079
Lanier,GA,25133,26281,27561
Laurens,GA,34652,35528,37372
Lee,GA,43544,45415,47258
Liberty,GA,33183,34163,35805
Lincoln,GA,34481,35936,37333
Long,GA,26099,26268,27071
Lowndes,GA,34869,35817,37443
Lumpkin,GA,34628,35288,37427
McDuffie,GA,34013,35656,36982
McIntosh,GA,28014,28377,29519
Macon,GA,28341,30237,31028
Madison,GA,33761,35261,36557
Marion,GA,26862,28317,29333
Meriwether,GA,32739,33285,34847
Miller,GA,36026,38229,40826
Mitchell,GA,32307,33964,35069
Monroe,GA,41767,43106,44790
Montgomery,GA,28834,28562,29408
Morgan,GA,45564,48982,50541
Murray,GA,28105,28986,29968
Muscogee,GA,40718,42083,44149
Newton,GA,31601,32456,33750
Oconee,GA,60296,64194,66740
Oglethorpe,GA,35391,36456,37709
Paulding,GA,35196,36276,37727
Peach,GA,35668,37173,38066
Pickens,GA,44457,45890,47887
Pierce,GA,33494,34908,36065
Pike,GA,37636,38423,39851
Polk,GA,30779,31150,32368
Pulaski,GA,28017,29034,30358
Putnam,GA,38731,40236,41839
Quitman,GA,27893,28699,30902
Rabun,GA,38505,39632,41128
Randolph,GA,28739,31453,33238
Richmond,GA,35032,36820,38196
Rockdale,GA,33440,33842,35244
Schley,GA,28610,29949,30931
Screven,GA,31699,33079,35010
Seminole,GA,38009,39963,40217
Spalding,GA,32904,33422,34772
Stephens,GA,36908,37831,38915
Stewart,GA,21153,21665,22771
Sumter,GA,32738,34522,35847
Talbot,GA,32396,33643,34504
Taliaferro,GA,32218,32719,33927
Tattnall,GA,26339,27812,28406
Taylor,GA,31322,29253,30141
Telfair,GA,19869,20338,20923
Terrell,GA,37009,38110,40325
Thomas,GA,40280,42097,44355
Tift,GA,35361,36148,37805
Toombs,GA,33720,33992,35517
Towns,GA,34874,35901,37858
Treutlen,GA,28097,29216,30119
Troup,GA,34884,34951,36476
Turner,GA,31706,33212,34396
Twiggs,GA,35817,37784,39530
Union,GA,34304,35166,36581
Upson,GA,33478,33922,35133
Walker,GA,30929,31704,32826
Walton,GA,37355,39022,40458
Ware,GA,31917,32763,33906
Warren,GA,32297,33231,34598
Washington,GA,32836,34386,35296
Wayne,GA,28970,30164,31954
Webster,GA,30591,32211,33109
Wheeler,GA,18257,19010,19631
White,GA,32388,33680,34961
Whitfield,GA,36201,37278,38752
Wilcox,GA,24278,26014,26712
Wilkes,GA,37483,38339,39472
Wilkinson,GA,33883,34285,35204
Worth,GA,31071,32540,34380
Acadia, LA,34236,35481,37304
Allen, LA,30513,31754,33381
Ascension, LA,46685,47798,49829
Assumption, LA,40358,43897,46788
Avoyelles, LA,35099,36529,37911
Beauregard, LA,39451,41126,42782
Bienville, LA,33422,35759,38493
Bossier, LA,41722,41876,44149
Caddo, LA,44851,45384,48413
Calcasieu, LA,44604,46162,48968
Caldwell, LA,31621,32616,33950
Cameron, LA,43152,47476,50280
Catahoula, LA,31982,33413,33655
Claiborne, LA,32376,33643,35240
Concordia, LA,30098,31599,32942
De Soto, LA,37155,38585,40584
East Baton Rouge, LA,47689,48855,51386
East Carroll, LA,34313,36315,36010
East Feliciana, LA,39815,40843,42771
Evangeline, LA,31600,32634,33671
Franklin, LA,30010,31196,31928
Grant, LA,30778,30862,31828
Iberia, LA,36278,37119,39270
Iberville, LA,37808,39569,41423
Jackson, LA,31762,32933,34116
Jefferson, LA,47629,48520,51005
Jefferson Davis, LA,38091,39905,42334
Lafayette, LA,45411,47467,50273
Lafourche, LA,43008,44136,47096
LaSalle, LA,29531,30283,32413
Lincoln, LA,37007,38492,40410
Livingston, LA,37428,39068,40658
Madison, LA,31480,31210,32437
Morehouse, LA,37453,37648,38495
Natchitoches, LA,36008,37985,39860
Orleans, LA,48148,49436,52004
Ouachita, LA,38535,39135,41053
Plaquemines, LA,47055,47225,49376
Pointe Coupee, LA,41105,42976,44366
Rapides, LA,43396,44128,46090
Red River, LA,34926,38966,42201
Richland, LA,35630,35988,37330
Sabine, LA,31544,33001,34558
St. Bernard, LA,30406,30974,32130
St. Charles, LA,46139,47247,49353
St. Helena, LA,40490,39875,41592
St. James, LA,43065,46155,48484
St. John the Baptist, LA,38078,38830,40573
St. Landry, LA,38789,39179,41191
St. Martin, LA,35923,35705,37645
St. Mary, LA,36485,37142,39280
St. Tammany, LA,55434,58848,62366
Tangipahoa, LA,36690,37474,38974
Tensas, LA,34363,36060,36630
Terrebonne, LA,39210,39379,41504
Union, LA,35754,37117,38794
Vermilion, LA,36304,36943,39042
Vernon, LA,37530,38756,40729
Washington, LA,31647,32210,33480
Webster, LA,36733,38000,40175
West Baton Rouge, LA,44986,45169,46976
West Carroll, LA,33516,34625,36633
West Feliciana, LA,36414,37266,38655
Winn, LA,33688,35068,36698
Adams, MS,32098,32428,33880
Alcorn, MS,33076,34364,36003
Amite, MS,30465,32432,33460
Attala, MS,32156,32603,33809
Benton, MS,28097,29198,30285
Bolivar, MS,35451,36104,38213
Calhoun, MS,31045,32079,33043
Carroll, MS,34877,36056,37615
Chickasaw, MS,31620,33663,34805
Choctaw, MS,31526,31949,33646
Claiborne, MS,29275,30364,31494
Clarke, MS,34660,35268,36431
Clay, MS,35872,37625,39191
Coahoma, MS,33335,32818,33915
Copiah, MS,31247,32250,33203
Covington, MS,31064,34699,35748
DeSoto, MS,38168,39022,40702
Forrest, MS,36793,37202,38880
Franklin, MS,33037,33236,33970
George, MS,31432,31697,32529
Greene, MS,27960,27973,28716
Grenada, MS,33859,34458,35632
Hancock, MS,33577,33998,35262
Harrison, MS,35877,36087,37303
Hinds, MS,37817,37633,39311
Holmes, MS,27619,27367,28371
Humphreys, MS,28869,29932,31864
Issaquena, MS,18428,10996,18541
Itawamba, MS,32441,33582,34734
Jackson, MS,35715,36297,37499
Jasper, MS,33417,36001,37281
Jefferson, MS,30998,31910,33098
Jefferson Davis, MS,27618,29568,30097
Jones, MS,35687,36933,38122
Kemper, MS,28470,28571,29287
Lafayette, MS,39338,40377,42110
Lamar, MS,38065,38885,40529
Lauderdale, MS,36593,36534,37959
Lawrence, MS,30830,33170,34616
Leake, MS,27422,30286,31436
Lee, MS,38811,40345,41934
Leflore, MS,33601,34769,36399
Lincoln, MS,36208,37484,38682
Lowndes, MS,35885,36657,38498
Madison, MS,60238,61566,64033
Marion, MS,29710,32880,34526
Marshall, MS,30405,31072,32341
Monroe, MS,32293,33180,34664
Montgomery, MS,32095,32883,34180
Neshoba, MS,33388,35409,36604
Newton, MS,32319,33778,34645
Noxubee, MS,30451,31581,32805
Oktibbeha, MS,32257,32748,34367
Panola, MS,31052,31684,32496
Pearl River, MS,34446,34803,36230
Perry, MS,29976,30674,31934
Pike, MS,29716,29966,31048
Pontotoc, MS,31118,31956,32996
Prentiss, MS,29116,29794,30743
Quitman, MS,26856,25162,27088
Rankin, MS,42738,43135,44661
Scott, MS,28569,30866,32095
Sharkey, MS,28708,30238,32070
Simpson, MS,33533,35865,37036
Smith, MS,31276,34495,35791
Stone, MS,30429,30560,31516
Sunflower, MS,28422,28926,30859
Tallahatchie, MS,27223,27157,27757
Tate, MS,33575,33572,35182
Tippah, MS,31530,32614,33919
Tishomingo, MS,31468,31711,33559
Tunica, MS,33576,31035,32425
Union, MS,30762,31432,32242
Walthall, MS,29402,31271,31757
Warren, MS,37437,37983,39580
Washington, MS,34904,35916,37568
Wayne, MS,30940,33261,34775
Webster, MS,36421,36973,38464
Wilkinson, MS,27539,28516,29413
Winston, MS,32377,34214,35742
Yalobusha, MS,34366,35020,36729
Yazoo, MS,26840,26303,27275
Alamance, NC,37317,38141,39342
Alexander, NC,34082,36178,37438
Alleghany, NC,36440,36949,37549
Anson, NC,31577,33531,34616
Ashe, NC,34325,35368,36300
Avery, NC,33428,34942,36574
Beaufort, NC,39151,40279,41643
Bertie, NC,32116,33839,34766
Bladen, NC,32273,33917,34306
Brunswick, NC,40295,41619,42749
Buncombe, NC,44412,46143,48592
Burke, NC,32359,33747,35265
Cabarrus, NC,42529,43546,45220
Caldwell, NC,32272,33792,35374
Camden, NC,43184,43656,45335
Carteret, NC,46800,47248,49360
Caswell, NC,33394,34566,35591
Catawba, NC,41748,43318,45342
Chatham, NC,58600,59921,63041
Cherokee, NC,30122,31101,32266
Chowan, NC,36798,38904,40817
Clay, NC,32085,32611,34057
Cleveland, NC,34710,36182,37661
Columbus, NC,30496,31351,32397
Craven, NC,41563,41831,43665
Cumberland, NC,35954,36990,38780
Currituck, NC,43103,43885,45435
Dare, NC,51698,53834,56314
Davidson, NC,36441,37867,39087
Davie, NC,44022,45965,47630
Duplin, NC,31797,33900,33619
Durham, NC,46255,48051,50698
Edgecombe, NC,32303,33327,34946
Forsyth, NC,45168,47062,48804
Franklin, NC,33301,34674,36238
Gaston, NC,38177,39795,41379
Gates, NC,33796,35418,36060
Graham, NC,29465,31517,33075
Granville, NC,35773,36852,38652
Greene, NC,30308,32493,32569
Guilford, NC,43059,44268,45875
Halifax, NC,33547,34615,36013
Harnett, NC,32019,33064,34604
Haywood, NC,37580,38634,40290
Henderson, NC,39915,41286,43276
Hertford, NC,30334,31830,32702
Hoke, NC,29080,29898,31148
Hyde, NC,39118,42039,43490
Iredell, NC,47134,48027,50065
Jackson, NC,30813,31851,32844
Johnston, NC,37337,38249,39922
Jones, NC,37640,38420,38536
Lee, NC,37411,38287,40098
Lenoir, NC,37291,39268,40922
Lincoln, NC,42010,43920,45791
McDowell, NC,31212,32721,34077
Macon, NC,37263,38762,40057
Madison, NC,31394,32655,34036
Martin, NC,32623,33727,34647
Mecklenburg, NC,55276,58539,61137
Mitchell, NC,33146,34699,35932
Montgomery, NC,32100,33760,35611
Moore, NC,48201,49257,51307
Nash, NC,39075,40255,42016
New Hanover, NC,42769,43722,45290
Northampton, NC,31164,33064,34185
Onslow, NC,45907,44836,46142
Orange, NC,60044,63460,67385
Pamlico, NC,39184,41610,43532
Pasquotank, NC,37108,38091,39417
Pender, NC,34829,35296,35914
Perquimans, NC,38002,39533,40781
Person, NC,35211,36510,38202
Pitt, NC,38611,39873,41191
Polk, NC,42166,43202,45291
Randolph, NC,34709,35910,37017
Richmond, NC,33247,34272,35148
Robeson, NC,27604,28270,29438
Rockingham, NC,34679,35862,37137
Rowan, NC,35489,36576,38089
Rutherford, NC,30524,31351,32764
Sampson, NC,34623,36130,35900
Scotland, NC,30370,31732,33229
Stanly, NC,36037,37703,39047
Stokes, NC,34130,35623,36850
Surry, NC,36283,37284,38522
Swain, NC,35771,37192,38429
Transylvania, NC,38964,40066,42070
Tyrrell, NC,30271,29728,30000
Union, NC,47809,49251,51326
Vance, NC,32991,33671,35105
Wake, NC,54584,55860,59014
Warren, NC,28793,29360,30397
Washington, NC,33743,34757,36073
Watauga, NC,34244,35384,36684
